artist	track
Buffalo Springfield	Mr. Soul
Buffalo Springfield	My Kind Of Love
Buffalo Springfield	No Sun Today
Buffalo Springfield	Nowadays Clancy Can't Even Sing
Buffalo Springfield	Old Laughing Lady
Buffalo Springfield	On The Way Home
Buffalo Springfield	Out Of My Mind
Buffalo Springfield	Pay The Price
Buffalo Springfield	Pretty Girl Why
Buffalo Springfield	Questions
Buffalo Springfield	Rock & Roll Woman
Buffalo Springfield	Sit Down I Think I Love You
Buffalo Springfield	Special Care
Buffalo Springfield	The Hour Of Not Quite Rain
Buffalo Springfield	Uno Mundo
Buffalo Springfield	We'll See
Buffalo Springfield	What A Day
Buffalo Springfield	Whatever Happened To Saturday Night?
Bulldog Breed	Halo In My Hair
Burt Ward	Boy Wonder I Love You
Caleb	Baby Your Phrasing Is Bad
Caleb	Woman Of Distinction
California Bear	Hang My Head
California Bear	In My Dreams
Canned Heat	Going Up The Country
Canned Heat	On The Road Again
Canterbury Fair	Song On A May Morning
Captain Beefheart And His Magic Band	Abba Zaba
Captain Beefheart And His Magic Band	Autumn's Child
Captain Beefheart And His Magic Band	Call On Me
Captain Beefheart And His Magic Band	Dropout Boogie
Captain Beefheart And His Magic Band	Electricity
Captain Beefheart And His Magic Band	Ella Guru
Captain Beefheart And His Magic Band	Grown So Ugly
Captain Beefheart And His Magic Band	Hair Pie: Bake 2
Captain Beefheart And His Magic Band	Plastic Factory
Captain Beefheart And His Magic Band	Veteran's Day Poppy
Captain Beefheart And His Magic Band	Yellow Brick Road
Captain Beefheart And His Magic Band	Zig Zag Wanderer
Captain Groovy And His Bubblegum Army	Dark Part Of My Mind, Part 1
C.A. Quintet	Dr. Of Philosophy
C.A. Quintet	Fortune Teller's Lie
C.A. Quintet	Smooth As Silk
C.A. Quintet	Underground Music
Caravan	Ride
Carriage Company	Feel Right
Cartoone	Ice Cream Dreams
Cartoone	I'll Stay
Cartoone	Let Me Reassure You
Cartoone	The Sadness Of Toby Jugg
Catfish Knight & The Blue Express	Deathwise
Central Park	Flower Hill
Chad & Jeremy	Paxton Quigley's Had The Course
Chad & Jeremy	Pipe Dream
Chad & Jeremy	Sunstroke
Chad & Jeremy	The Ark
Chamaeleon Church	Camillia Is Changing
Chapter Four	In My Life
Chapter VI	Oracle
Charade	And You Do
Cherry Slush	I Cannot Stop You
Cherry Smash	Fade Away Maureen
Cherry Smash	Green Plant
Cherry Smash	Sing Songs Of Love
Childe Harold	Anne, With Love
Childe Harold	Brink Of Death
Children Of The Mushroom	August Mademoiselle
Children Of The Mushroom	You Can't Erase A Mirror
Chocolate Watch Band	Are You Gonna Be There (At The Love-In)
Chocolate Watch Band	Dark Side Of The Mushroom
Chocolate Watch Band	Expo 2000
Chocolate Watch Band	Gone And Passes By
Chocolate Watch Band	How Ya Been
Chocolate Watch Band	Inner Mystique
Chocolate Watch Band	In The Past
Chocolate Watch Band	No Way Out
Chocolate Watch Band	Psychedelic Trip
Chocolate Watch Band	Uncle Morris
Chocolate Watch Band	Voyage Of The Trieste
Chris Carpenter	This World (Is Closing In On Me)
Christopher	Beautiful Lady
Christopher Colt	Virgin Sunrise
Chrysalis	30 Poplar
Chrysalis	April Grove
Chrysalis	Dr. Root's Garden
Chrysalis	Fitzpatrick Swanson
Chrysalis	Gimme Your Love
Chrysalis	Lacewing
Chrysalis	Piece Of Sun
Cinnamon Quill	Take It Or Leave It
Circus Maximus	Lost Sea Shanty
Circus Maximus	Parallel
Circus Maximus	People's Games
Circus Maximus	Short-Haired Fathers
Circus Maximus	Time Waits
Circus Maximus	Travelin' Around
Circus Maximus	Trying To Live Right
Circus Maximus	Wind
Circus Maximus	You Know I've Got The Rest Of My Life To Go
Clapham Junction	Emily On Sunday
Clear Light	Black Roses
Clear Light	She's Ready To Be Free
Colosseum	The Kettle
Colours	Brother Lou's Love Colony
Colours	Love Heals
Colours	Rather Be Me
Colours	You're High
Commodore Condello's Salt River Navy Band	The Time Machine
Comstock Ltd.	Help Me Girl
Condello	Oh No
Condello	The Other Side Of You
Consortium	The Day The Train Never Came
Cosmic Brotherhood	Journey To The East
Cosmic Brotherhood	Lady Friend
Cosmic Brotherhood	Sunshine World
Cosmic Brotherhood	Yentra II
Count Five	Psychotic Reaction
Count Five	The Morning After
Country Joe & The Fish	An Untitled Protest
Country Joe & The Fish	Bass Strings
Country Joe & The Fish	Eastern Jam
Country Joe & The Fish	Flying High
Country Joe & The Fish	For No Reason
Country Joe & The Fish	Grace
Country Joe & The Fish	I-Feel-Like-I'm-Fixin'-To-Die Rag
Country Joe & The Fish	Janis
Country Joe & The Fish	Love
Country Joe & The Fish	Not So Sweet Martha Lorraine
Country Joe & The Fish	Porpoise Mouth
Country Joe & The Fish	Section 43
Country Joe & The Fish	Super Bird
Country Joe & The Fish	The Fish Cheer & I-Feel-Like-I'm-Fixin'-To-Die Rag
Country Joe & The Fish	The Masked Marauder
Country Joe & The Fish	Thing Called Love
Cream	Anyone For Tennis
Cream	As You Said
Cream	Badge
Cream	Blue Condition
Cream	Born Under A Bad Sign
Cream	Cat's Squirrel
Cream	Crossroads
Cream	Dance The Night Away
Cream	Deserted Cities Of The Heart
Cream	Doing That Scrapyard Thing
Cream	Dreaming
Cream	Hey Now Princess
Cream	I Feel Free
Cream	I'm So Glad
Cream	Lawdy Mama
Cream	N.S.U.
Cream	Outside Woman Blues
Cream	Passing The Time
Cream	Politician
Cream	Pressed Rat And Warthog
Cream	Rollin' And Tumblin'
Cream	Sitting On Top Of The World
Cream	Sleepy Time Time
Cream	Spoonful
Cream	Strange Brew
Cream	Sunshine Of Your Love
Cream	Sweet Wine
Cream	Swlabr
Cream	Take It Back
Cream	Tales Of Brave Ulysses
Cream	The Clearout
Cream	The Coffee Song
Cream	Those Were The Days
Cream	We're Going Wrong
Cream	What A Bringdown
Cream	White Room
Cream	World Of Pain
Cream	Wrapping Paper
Creation Of Sunlight	David
Creation Of Sunlight	Hammond Eggs
Creation Of Sunlight	In The Middle Of Happy
Creation Of Sunlight	Light Without Heat
Creation Of Sunlight	The Fun Machine
Creedence Clearwater Revival	Bad Moon Rising
Creedence Clearwater Revival	Born On The Bayou
Creedence Clearwater Revival	Down On The Corner
Creedence Clearwater Revival	Fortunate Son
Creedence Clearwater Revival	Green River
Creedence Clearwater Revival	Have You Ever Seen The Rain?
Creedence Clearwater Revival	Hey Tonight
Creedence Clearwater Revival	It's Just A Thought
Creedence Clearwater Revival	Lodi
Creedence Clearwater Revival	Lookin' Out My Back Door
Creedence Clearwater Revival	Porterville
Creedence Clearwater Revival	Proud Mary
Creedence Clearwater Revival	Ramble Tamble
Creedence Clearwater Revival	Run Through The Jungle
Creedence Clearwater Revival	Someday Never Comes
Creedence Clearwater Revival	Suzie Q
Creedence Clearwater Revival	The Midnight Special
Creedence Clearwater Revival	Up Around The Bend
Creedence Clearwater Revival	Who'll Stop The Rain
Crosby & Nash	Immigration Man
Crosby, Stills & Nash	49 Bye-Byes
Crosby, Stills & Nash	Guinnevere
Crosby, Stills & Nash	Helplessly Hoping
Crosby, Stills & Nash	Long Time Gone
Crosby, Stills & Nash	Marrakesh Express
Crosby, Stills & Nash	Suite: Judy Blue Eyes
Crosby, Stills & Nash	Wooden Ships
Crosby, Stills & Nash	You Don't Have To Cry
Crosby, Stills, Nash & Young	4 + 20
Crosby, Stills, Nash & Young	Almost Cut My Hair
Crosby, Stills, Nash & Young	Carry On
Crosby, Stills, Nash & Young	Country Girl
Crosby, Stills, Nash & Young	Deja Vu
Crosby, Stills, Nash & Young	Everybody I Love You
Crosby, Stills, Nash & Young	Find The Cost Of Freedom
Crosby, Stills, Nash & Young	Helpless
Crosby, Stills, Nash & Young	Ohio
Crosby, Stills, Nash & Young	Sea Of Madness
Crosby, Stills, Nash & Young	Teach Your Children
Crosby, Stills, Nash & Young	Woodstock
Crystal Chandelier	Suicidal Flowers
Crystal Chandelier	The Setting Of Despair
Crystal Chandelier	Your Land Of Love
Crystal Rain	Hey Ma Ma
Crystal Rain	You And Me
Cupid's Inspiration	Different Guy
Cupid's Inspiration	Look At Me
Cykle	Walkout
Daddy Lindberg	Wade In The Shade
Daisy Clover	Butterflies
Dantalian's Chariot	Soma
Dantalian's Chariot	The Coffee Song
Dantalian's Chariot	The Madman Running Through The Fields
Daughters Of Albion	Candle Song
Daughters Of Albion	Well Wired
Dave Davies	Creeping Jean
David Axelrod	A Dream
David Axelrod	A Poison Tree
David Axelrod	Holy Thursday
David Axelrod	London
David Axelrod	Merlin's Prophecy
David Axelrod	Song Of Innocence
David Axelrod	The Fly
David Axelrod	The Mental Traveler
David Axelrod	The Sick Rose
David Axelrod	The Smile
David Axelrod	Urizen
David Bowie	Can't Help Thinking About Me
David Bowie	Do Anything You Say
David Bowie	Memory Of A Free Festival
David Bowie	Space Oddity
David Bowie	Unwashed And Somewhat Slightly Dazed
David	Cup Of Tea
David	Descension
David	Light Of Your Mind
David McWilliams	Days Of Pearly Spencer
David	Never Been In Love
David	Please Mr. Policeman
Davie Allan & The Arrows	Bay City Boys
Deep Purple	Hush
Deep Purple	Lalena
Deep Purple	Oh No No No
Deep Purple	One More Rainy Day
Deep Purple	Playground
Deep Purple	Shield
Don Malena & The Dry Ice	Land Of Summertime
Donovan	Atlantis
Donovan	Clara Clairvoyant
Donovan	Cosmic Wheels
Donovan	Epistle To Dippy
Donovan	Get Thy Bearings
Donovan	House Of Jansch
Donovan	Hurdy Gurdy Man
Donovan	Lalena
Donovan	Mad John's Escape
Donovan	Mellow Yellow
Donovan	Museum
Donovan	Riki Tiki Tavi
Donovan	Season Of The Witch
Donovan	Sunny South Kensington
Donovan	Sunshine Superman
Donovan	The Fat Angel
Donovan	The Land Of Doesn't Have To Be
Donovan	The River Song
Donovan	The Summer Day Reflection Song
Donovan	Wear Your Love Like Heaven
Don Randi	Chain Of Fools
Dragonfly	Blue Monday
Dragonfly	Celestial Dreams
Dragonfly	Celestial Empire
Dragonfly	Desert Of Almond
Dragonfly	Enjoy Yourself
Dragonfly	I Feel It
Dragonfly	Miles Away
Dragonfly	Portrait Of Youth
Dragonfly	Prince Of Amboyna
Dragonfly	She Don't Care
Dragonfly	Time Has Slipped Away
Dragonfly	To Be Free
Dragonfly	Tromodo
Dr. West's Medicine Show And Junk Band	Jigsaw
Dr. West's Medicine Show And Junk Band	The Eggplant That Ate Chicago
Eclection	Another Time Another Place
Eclection	In Her Mind
Eclection	Morning Of Yesterday
Eclection	St. Georg & The Dragon (Up The Night)
Eden's Children	Just Let Go
Eden's Children	Sure Looks Real
Egg	You Are All Princes
Eire Apparent	The Clown
Eire Apparent	Yes, I Need Someone
Electric Banana	Alexander
Electric Banana	Blow Your Mind
Electric Banana	Eagle's Son
Electric Banana	It'll Never Be Me
Elephant's Memory	R.I.P.
Ellie Pop	Can't Be Love
Ellie Pop	Caught In The Rain
Ellie Pop	Seven North Frederick
Ellie Pop	Winner Loser
Elli	Never Mind
Elmer Gantry's Velvet Opera	Air
Elmer Gantry's Velvet Opera	Dream Starts
Elmer Gantry's Velvet Opera	Long Nights Of Summer
Elmer Gantry's Velvet Opera	Mary Jane
Elmer Gantry's Velvet Opera	Mother Writes
Elmer Gantry's Velvet Opera	Reactions Of A Young Man
Elmer Gantry's Velvet Opera	Salisbury Plain
Embryo Infinity Rebirth	Walls
Emitt Rhodes	Somebody Made For Me
Endle St. Cloud In The Rain	Tell Me One More Time (What's Happening To Our World)
Endle St. Cloud	Jessica
English Rose	Yesterday's Hero
Episode Six	I Can See Through You
Episode Six	Time And Motion Man
Eric Burdon & The Animals	In The Night
Eric Burdon & The Animals	Just The Thought
Eric Burdon & The Animals	Madman (Running Through The Fields)
Eric Burdon & The Animals	Monterey
Eric Burdon & The Animals	Poem By The Sea
Eric Burdon & The Animals	San Franciscan Nights
Eric Burdon & The Animals	Serenade To A Sweet Lady
Eric Burdon & The Animals	Sky Pilot
Eric Burdon & The Animals	We Love You Lil
Eric Burdon & War	Spill The Wine
ESB	Let Me Touch You
ESB	Mushroom People
Esko Affair	Morning Dull Fires
Euclid	Bye Bye Baby
Fab	Come On Baby, Love Me
Faine Jade	The Ballad Of The Bad Guys
Fairport Convention	It's Alright Ma, It's Only Witchcraft
Family	3 X Time
Family	Emotions
Family	Face In The Cloud
Family	How-Hi-The-Li
Family	Hung Up Down
Family	Mellowing Grey
Family	Me My Friend
Family	Never Like This
Family	No Mule's Fool
Family	Observations From A Hill
Family	Old Songs For New Songs
Family	Peace Of Mind
Family	Processions
Family	Scene Through The Eye Of A Lens
Family	See Through Windows
Family	Song For Sinking Lovers
Family	Summer '67
Family	The Breeze
Family	The Chase
Family	Variation On A Theme Of Hey Mr. Policeman
Family	Voyage
Family	Winter
Fat Mattress	Anyway You Want
Fat Mattress	At The Ball
Fat Mattress	Bright New Way
Fat Mattress	Childhood Dream
Fat Mattress	How Can I Live
Fat Mattress	I Don't Mind
Fat Mattress	Iridescent Butterfly
Fat Mattress	Little Girl In White
Fat Mattress	Long Red
Fat Mattress	Mr. Moonshine
Fat Mattress	Naturally
Fat Mattress	People
Fat Mattress	Roamin'
Fat Mattress	She
Fat Mattress	She Came In The Morning
Fat Mattress	The Storm
Fenwyck	Mindrocker
Fenwyck	State Of Mind
Fever Tree	Day Tripper/We Can Work It Out
Fever Tree	Grand Candy Young Sweet
Fever Tree	Hey Joe
Fever Tree	Nowadays Clancy Can't Even Sing
Fever Tree	San Francisco Girls (Return Of The Native)
Fever Tree	The Sun Also Rises
Fever Tree	Unlock My Door
Fifty Foot Hose	If Not This Time
Fire	Father's Name Is Dad
Fire	Tell You A Story
Five Man Electrical Band	Signs
Flat Earth Society	Four & Twenty Miles
Flat Earth Society	I'm So Happy
Flat Earth Society	In My Window
Flat Earth Society	Midnight Hour
Flavor	Heart-Teaser
Fleetwood Mac	Earl Gray
Fleetwood Mac	Jewel Eyed Judy
Fleetwood Mac	Like Crying
Fleetwood Mac	Man Of The World
Fleetwood Mac	My Dream
Fleetwood Mac	Oh Well
Fleetwood Mac	Station Man
Fleetwood Mac	The Green Manalishi (With The Two Prong Crown)
Fleetwood Mac	Underway
Fleetwood Mac	World In Harmony
Fleur De Lys	Circles
Fleur De Lys	Gong With The Luminous Nose
Fleur De Lys	Hammer Head
Fleur De Lys	I Can See A Light
Flower Power	You Make Me Fly
Focal Point	Sycamore Sid
Focus Three	10,000 Years Behind My Mind
Ford Theatre	I Feel Uncertain
Ford Theatre	Theme For The Masses
Ford Theatre	Time Changes
Fountain Of Youth	Witness People
Fresh Air	Faces In The Fire
Fresh Air	I Finally Found A Friend
Fresh Air	Sailor Man
Fresh Air	Sleeping In Sunshine
Friday Brown	The Outdoor Seminar
Friend & Lover	Reach Out Of The Darkness
Front Office	Wow
Frumious Bandersnatch	Cheshire
Frumious Bandersnatch	Hearts To Cry
Frumious Bandersnatch	Medley: You Gotta Believe/Judgment Day
Frumious Bandersnatch	Misty Cloudy
Frumious Bandersnatch	What Is A Bandersnatch?
Gale Garnett And The Gentle Reign	Breaking Through
Gale Garnett And The Gentle Reign	Dolphins
Gale Garnett And The Gentle Reign	My Own Mind's Morning
Gale Garnett And The Gentle Reign	Peace Comes Slowly To The Thrashing Fish
Gale Garnett And The Gentle Reign	This Year's Child
Gale Garnett	I Make Him Fly
Gale Garnett	You're Doing Me No Good
Gandalf	Can You Travel In The Dark Alone
Gandalf	You Upset The Grace Of Living
Garden Odyssey Enterprise	Sad And Lonely
Gary Walker & The Rain	Francis
Gary Walker & The Rain	The View
Gary Walker & The Rain	Whatever Happened To Happy
Gates Of Eden	Too Much On My Mind
Genesis	Am I Very Wrong?
Genesis	In Limbo
Genesis	In The Beginning
Genesis	In The Wilderness
Genesis	One Day
Genesis	The Conqueror
Genesis	The Serpent
Genesis	The Silent Sun
Genesis	Where The Sour Turns To Sweet
Gentle Soul	Love Is Always Real
Gentle Soul	See My Love (Song For Greg)
Gentle Soul	Song For Eolia
Gentle Soul	Tell Me Love
Gentle Soul	You Move Me
Gentle Soul	Young Man Blue
George Gallagher & The Pathfinders	Dawn
Giles, Giles & Fripp	Digging My Lawn
Giles, Giles & Fripp	How Do They Know
Giles, Giles & Fripp	I Talk To The Wind
Giles, Giles & Fripp	Newly-Weds
Giles, Giles & Fripp	North Meadow
Giles, Giles & Fripp	Scrivens
Giles, Giles & Fripp	She Is Loaded
Giles, Giles & Fripp	Under The Sky
Glad	Johnny Silver's Ride
Golden Earrings	Crystal Heaven
Golden Earrings	The Truth About Arthur
Graffiti	He's Got The Knack
Graffiti	The Capture Of Me
Graffiti	Ugly Mascara
Graf Zepplin	You're In My Mind
Granny's Intentions	Fifty Years On
Granny's Intentions	Maybe
Granny's Intentions	Nutmeg, Bitter-Sweet
Granny's Intentions	Rise Then Fall
Granny's Intentions	Sandy's On The Phone Again
Grapefruit	Ain't It Good
Grapefruit	Another Game
Grapefruit	Dear Delilah
Grapefruit	Yesterday's Sunshine
Grateful Dead	Alligator
Grateful Dead	Beat It On Down The Line
Grateful Dead	Born Cross-Eyed
Grateful Dead	China Cat Sunflower
Grateful Dead	Cold Rain And Snow
Grateful Dead	Cosmic Charlie
Grateful Dead	Cream Puff War
Grateful Dead	Dancin' In The Streets
Grateful Dead	Dark Star
Grateful Dead	Doin' That Rag
Grateful Dead	In The Midnight Hour
Grateful Dead	Mindbender (Confusion's Prince)
Grateful Dead	Morning Dew
Grateful Dead	Mountains Of The Moon
Grateful Dead	New, New Minglewood Blues
Grateful Dead	New Potato Caboose
Grateful Dead	Rosemary
Grateful Dead	Sitting On Top Of The World
Grateful Dead	St. Stephen
Grateful Dead	That's It For The Other One
Grateful Dead	The Golden Road (To Unlimited Devotion)
Grateful Dead	The Same Thing
Grateful Dead	Viola Lee Blues
Green	RCMPB
Green	Where Have I Been
Gun	Rupert's Travels
Gun	Sunshine
Hamilton Streetcar	Brother Speed
Happy Confusion	Hereditary Impediment
Hardwater	Good Ole Friends
Hardwater	My Time
Head Hands & Feet	Hail The Conquering Hero
Head Hands & Feet	Homing In On The Next Trade Wind
Heavy Jelly	If You'd Like To
Heavy Jelly	Take Me Down To The Water
Herbal Mixture	Please Leave My Mind
High Tide	Death Warmed Up
High Tide	Futilist's Lament
High Tide	Pushed, But Not Forgotten
High Tide	Walking Down Their Outlook
Him And The Others	She's Got Eyes That Tell Lies
Honeybus	Black Mourning Band
Honeybus	How Long
Honeybus	Tender Are The Ashes
House Of Lords	In The Land Of Dreams
H.P. Lovecraft	At The Mountains Of Madness
H.P. Lovecraft	Country Boy & Bleeker Street
H.P. Lovecraft	Electrallentando
H.P. Lovecraft	I've Been Wrong Before
H.P. Lovecraft	Keeper Of The Keys
H.P. Lovecraft	Let's Get Together
H.P. Lovecraft	Mobius Trip
H.P. Lovecraft	Nothing's Boy
H.P. Lovecraft	That's How Much I Love You, Baby (More Or Less)
H.P. Lovecraft	That's The Bag I'm In
H.P. Lovecraft	The Bag I'm In
H.P. Lovecraft	The Drifter
H.P. Lovecraft	The Time Machine
H.P. Lovecraft	The White Ship
H.P. Lovecraft	Wayfaring Stranger
Humble Pie	As Safe As Yesterday Is
Humble Pie	Desperation
Humble Pie	Greg's Song
Humble Pie	Home And Away
Humble Pie	I'll Go Alone
Humble Pie	Only You Can See
